method,target_ext,reached,reached_ext,road_length_m,displacement,pct_displaced,propose_seconds
clearance,0.70,False,0.6828,4037.8,736.6,0.1576,2.0
greedy_arterial_buildable,0.70,False,0.2270,1576.0,241.9,0.0517,229.5
clearance_looped,0.70,True,0.7002,5166.8,839.6,0.1796,14.0
euclidean_grid,0.70,True,0.7006,13137.2,1409.1,0.3014,0.3
osm_footpaths,0.70,True,0.7000,11584.2,1506.6,0.3223,0.1
