method,road_m,displacement,permeability,access_burden_reduction,at_budget
clearance_looped,6896.7,0.1010,0.773669,0.92891,True
euclidean_grid,9500.2,0.1003,0.87824,0.852457,True
resistance_lp,19505.9,0.1001,0.958548,0.982354,True
cycle_native,9385.8,0.1013,0.899296,0.926431,True
greedy_arterial_access_displacement,14644.5,0.0427,0.860617,0.935222,False
osm_footpaths,2890.5,0.0189,0.465642,0.266435,False
