method,mean_terminal_benefit,mean_buildings_displaced,mean_pct_displaced,n_blocks
clearance,0.4253,53.0,0.2015,1
greedy_arterial_buildable,0.3894,32.0,0.1217,1
osm_footpaths,0.3651,49.0,0.1863,1
