method,mean_auc,mean_pct_paved,n_blocks
greedy_arterial_buildable,0.2272,0.1615,1
topology,0.0867,0.3873,1
mesh,0.0678,0.7017,1
clearance,0.0470,0.2040,1
dijkstra,0.0153,0.6238,1
