method,mean_auc,mean_pct_paved,n_blocks
greedy_arterial_buildable,0.0052,0.1615,1
topology,0.0031,0.3873,1
mesh,0.0024,0.7017,1
clearance,0.0018,0.2040,1
dijkstra,0.0011,0.6238,1
