method,mean_terminal_benefit,mean_buildings_displaced,mean_pct_displaced,n_blocks
greedy_arterial_buildable,0.0003,216.0,0.0202,1
clearance,0.0003,2056.0,0.1921,1
osm_footpaths,0.0000,97.0,0.0091,1
