method,target_ext,reached,reached_ext,road_length_m,displacement,pct_displaced,propose_seconds
greedy_arterial_repulsion,0.70,True,0.7000,4937.6,403.4,0.0367,0.0
clearance_looped,0.70,True,0.7287,2804.0,278.8,0.0254,0.0
euclidean_grid,0.70,True,0.7419,3934.1,385.5,0.0351,0.0
osm_footpaths,0.70,False,0.0269,7673.9,386.9,0.0352,0.0
