method,terminal_displacement,pct_displaced,n_blocks
clearance_looped,1919.8,0.1746,1
euclidean_grid,1203.8,0.1095,1
greedy_arterial_repulsion,624.4,0.0568,1
osm_footpaths,386.9,0.0352,1
