metric,auc,prec@1%,recall@1%,prec@5%,recall@5%,prec@10%,recall@10%,prec@30%,recall@30%,floor,floor_n,floor_prec,floor_recall
depth_density proxy   √(nA)/P · n/A,0.9210516234290933,0.8170731707317073,0.19648093841642228,0.41605839416058393,0.501466275659824,0.27598784194528875,0.6656891495601173,0.12948328267477205,0.9369501466275659,0.0128,1655.0,0.27492447129909364,0.6671554252199413
density   n/A,0.9222067722985203,0.6280487804878049,0.15102639296187684,0.41605839416058393,0.501466275659824,0.2802431610942249,0.6759530791788856,0.13069908814589665,0.9457478005865103,,,,
density_compactness   n/P²,0.8414915935326541,0.5609756097560976,0.1348973607038123,0.3223844282238443,0.3885630498533724,0.24437689969604864,0.5894428152492669,0.11084093211752787,0.8020527859237536,0.000355,1644.0,0.24452554744525548,0.5894428152492669
depth proxy   √(nA)/P,0.7077154422844927,0.4634146341463415,0.11143695014662756,0.24087591240875914,0.2903225806451613,0.16534954407294833,0.39882697947214074,0.08328267477203648,0.6026392961876833,,,,
