block_id,disputed,kb_depth_density proxy,kb_density,kb_density_compactness,kb_depth proxy,ob_depth_density proxy,ob_density,ob_density_compactness,ob_depth proxy,n_screens,kb_count,ob_count,ob_over_kb,area_ha,per_km2,ob_n,ob_median_m2,fine_depth,fine_depth_density,survey_cover,survey_label,place,maps,verdict,notes,disagreement
ZAF.9.3.1_1_44818,,,,8,,,,10,,2,49,69,1.41,0.34,20563,69,22.4,4.0,8.225,0.186,formal,Cape Town Ward 33,"https://www.google.com/maps/@-34.01529,18.57571,17z",,,0.299
ZAF.9.3.1_1_41673,,,,,10,,,,10,2,898,1074,1.2,9.48,11331,1074,29.5,12.0,13.597,0.759,informal,Philippi,"https://www.google.com/maps/@-34.00340,18.57701,17z",,,0.194
ZAF.9.3.1_1_44571,,8,14,,,12,,,,3,675,742,1.1,4.35,17073,742,25.7,8.0,13.658,1.0,informal,Cape Town Ward 88,"https://www.google.com/maps/@-34.01920,18.58591,17z",,,0.179
ZAF.9.3.1_1_41796,,6,,11,,8,,,,3,429,467,1.09,2.95,15828,467,29.8,9.0,14.245,1.0,informal,Philippi,"https://www.google.com/maps/@-34.00952,18.57142,17z",,,0.134
ZAF.9.3.1_1_44681,,,2,,,,9,,,2,53,67,1.26,0.29,22885,67,19.0,2.0,4.577,0.0,formal,Cape Town Ward 34,"https://www.google.com/maps/@-34.01487,18.57948,17z",,,0.134
ZAF.9.5.4_1_9712,,,,,11,,,,4,2,857,1721,2.01,49.43,3482,1721,18.8,13.0,4.527,0.0,formal,Siyanyanzela,"https://www.google.com/maps/@-34.15462,18.98286,17z",,,0.119
ZAF.9.3.1_1_44674,,,5,,,,3,,,2,35,53,1.51,0.2,26056,53,18.6,1.0,2.606,0.0,formal,Cape Town Ward 34,"https://www.google.com/maps/@-34.01457,18.57912,17z",,,0.06
ZAF.9.3.1_1_1434,,14,,12,,6,,,,3,362,437,1.21,2.48,17598,437,23.0,9.0,15.838,1.0,informal,Witsand,"https://www.google.com/maps/@-33.58520,18.50663,17z",,,0.045
ZAF.9.3.1_1_44685,,,11,,,,12,,,2,33,46,1.39,0.21,22381,46,22.3,1.0,2.238,0.0,formal,Cape Town Ward 34,"https://www.google.com/maps/@-34.01501,18.57915,17z",,,0.045
ZAF.9.3.1_1_20423,,,,,4,,,,9,2,1679,1410,0.84,108.94,1294,1410,20.0,8.0,1.035,0.009,formal,Sabata Dalindyebo Square (Green Point),"https://www.google.com/maps/@-34.02830,18.68290,17z",,,0.015
