block_id,stratum,screen_rank,n_stratum,n_sampled,weight,dd_proxy,ob_count,area_ha,survey_cover,survey_label,place,maps,verdict,notes
ZAF.9.3.1_1_23692,1to5pct,201,732,31,23.6129,0.0414875,246,1.92,0.051,formal,Nomzamo,"https://www.google.com/maps/@-34.11444,18.85649,18.8z/data=!3m1!1e3",,
ZAF.9.3.1_1_41465,1to5pct,202,732,31,23.6129,0.0413593,267,2.12,0.506,informal,Cape Town Ward 34,"https://www.google.com/maps/@-34.00469,18.58833,18.7z/data=!3m1!1e3",,
ZAF.9.3.1_1_24164,1to5pct,204,732,31,23.6129,0.0412362,171,1.30,0.000,formal,Asanda Village,"https://www.google.com/maps/@-34.10474,18.84975,19.4z/data=!3m1!1e3",,
ZAF.9.3.1_1_55697,1to5pct,239,732,31,23.6129,0.0387609,344,3.16,0.002,formal,Cape Town Ward 67,"https://www.google.com/maps/@-34.08464,18.49053,18.2z/data=!3m1!1e3",,
ZAF.9.3.1_1_21493,1to5pct,283,732,31,23.6129,0.036356,187,1.43,1.000,informal,Nonqubela (Site B),"https://www.google.com/maps/@-34.01646,18.66286,18.8z/data=!3m1!1e3",,
ZAF.9.3.1_1_21708,1to5pct,292,732,31,23.6129,0.0355517,337,4.01,0.748,informal,Victoria Mxenge (Site B),"https://www.google.com/maps/@-34.02838,18.65953,18.9z/data=!3m1!1e3",,
ZAF.9.3.1_1_44917,1to5pct,310,732,31,23.6129,0.0342855,98,0.59,1.000,informal,Cape Town Ward 43,"https://www.google.com/maps/@-34.03256,18.57648,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_1435,1to5pct,340,732,31,23.6129,0.0330786,108,0.69,1.000,informal,Witsand,"https://www.google.com/maps/@-33.58782,18.50692,19.4z/data=!3m1!1e3",,
ZAF.9.1.4_1_4314,1to5pct,346,732,31,23.6129,0.032797,86,0.52,0.000,formal,Stellenbosch Ward 12,"https://www.google.com/maps/@-33.91592,18.84208,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_46274,1to5pct,398,732,31,23.6129,0.0311538,150,1.13,1.000,informal,Langa,"https://www.google.com/maps/@-33.94974,18.53783,18.9z/data=!3m1!1e3",,
ZAF.9.3.1_1_21829,1to5pct,403,732,31,23.6129,0.0310501,215,2.57,0.000,formal,Khaya,"https://www.google.com/maps/@-34.04041,18.66595,19.1z/data=!3m1!1e3",,
ZAF.9.3.1_1_20659,1to5pct,412,732,31,23.6129,0.0307659,134,1.21,0.000,formal,Kuyasa,"https://www.google.com/maps/@-34.05396,18.69295,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_39419,1to5pct,421,732,31,23.6129,0.0305148,87,0.58,0.000,formal,Cape Town Ward 88,"https://www.google.com/maps/@-34.00893,18.59525,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_44860,1to5pct,451,732,31,23.6129,0.029543,333,3.10,0.081,formal,Cape Town Ward 33,"https://www.google.com/maps/@-34.01926,18.57556,18.7z/data=!3m1!1e3",,
ZAF.9.3.1_1_5589,1to5pct,453,732,31,23.6129,0.0294747,83,0.64,0.000,formal,Kraaifontein East,"https://www.google.com/maps/@-33.84120,18.74492,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_21254,1to5pct,480,732,31,23.6129,0.0287128,52,0.33,1.000,informal,Barnet Molokwana Corner,"https://www.google.com/maps/@-34.02010,18.67149,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_55723,1to5pct,489,732,31,23.6129,0.0285398,129,1.13,1.000,informal,Cape Town Ward 67,"https://www.google.com/maps/@-34.08034,18.48885,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_20128,1to5pct,501,732,31,23.6129,0.0282983,405,4.03,0.986,informal,Sandvlei,"https://www.google.com/maps/@-34.05622,18.71336,18.1z/data=!3m1!1e3",,
ZAF.9.3.1_1_23631,1to5pct,545,732,31,23.6129,0.0272239,106,0.96,0.000,formal,Nomzamo,"https://www.google.com/maps/@-34.11257,18.86119,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_19261,1to5pct,613,732,31,23.6129,0.0259564,86,0.76,0.000,formal,Voorbrug,"https://www.google.com/maps/@-33.97988,18.64003,19.5z/data=!3m1!1e3",,
ZAF.9.1.4_1_2698,1to5pct,628,732,31,23.6129,0.0257161,67,0.42,0.000,formal,Stellenbosch Ward 18,"https://www.google.com/maps/@-33.81654,18.86309,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_18819,1to5pct,630,732,31,23.6129,0.0256812,154,1.33,0.000,formal,Cape Town Ward 114,"https://www.google.com/maps/@-34.00034,18.67495,18.8z/data=!3m1!1e3",,
ZAF.9.3.1_1_41773,1to5pct,689,732,31,23.6129,0.024391,122,0.96,1.000,informal,Philippi,"https://www.google.com/maps/@-34.00784,18.57137,18.9z/data=!3m1!1e3",,
ZAF.9.3.1_1_43860,1to5pct,709,732,31,23.6129,0.0240139,285,4.92,0.000,formal,Westridge,"https://www.google.com/maps/@-34.04343,18.60354,18.6z/data=!3m1!1e3",,
ZAF.9.3.1_1_21683,1to5pct,789,732,31,23.6129,0.0229897,385,3.99,0.610,informal,Victoria Mxenge (Site B),"https://www.google.com/maps/@-34.02823,18.66065,18.6z/data=!3m1!1e3",,
ZAF.9.3.1_1_40966,1to5pct,796,732,31,23.6129,0.0228323,39,0.24,1.000,informal,Cape Town Ward 40,"https://www.google.com/maps/@-33.97880,18.58132,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_43648,1to5pct,840,732,31,23.6129,0.0224359,124,1.17,0.289,formal,Cape Town Ward 88,"https://www.google.com/maps/@-34.01593,18.59874,19.4z/data=!3m1!1e3",,
ZAF.9.3.1_1_21024,1to5pct,845,732,31,23.6129,0.0223767,115,1.28,0.000,formal,Kuyasa,"https://www.google.com/maps/@-34.05769,18.69284,19.4z/data=!3m1!1e3",,
ZAF.9.3.1_1_38866,1to5pct,847,732,31,23.6129,0.0223309,68,0.58,0.000,formal,Crossroads,"https://www.google.com/maps/@-33.98933,18.59718,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_41146,1to5pct,851,732,31,23.6129,0.0222631,160,1.77,0.000,formal,Cape Town Ward 40,"https://www.google.com/maps/@-33.97481,18.57397,18.7z/data=!3m1!1e3",,
ZAF.9.3.1_1_39362,1to5pct,888,732,31,23.6129,0.0218893,63,0.48,0.000,formal,Cape Town Ward 88,"https://www.google.com/maps/@-34.00478,18.59753,19.5z/data=!3m1!1e3",,
ZAF.9.1.2_1_2865,5to10pct,948,915,25,36.6,0.0212929,77,0.64,0.000,formal,Drakenstein Ward 18,"https://www.google.com/maps/@-33.66026,18.98611,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_20634,5to10pct,951,915,25,36.6,0.0212557,198,2.66,0.000,formal,Kuyasa,"https://www.google.com/maps/@-34.04752,18.69133,18.7z/data=!3m1!1e3",,
ZAF.9.1.2_1_3762,5to10pct,995,915,25,36.6,0.0208472,89,0.96,0.000,formal,Drakenstein Ward 9,"https://www.google.com/maps/@-33.67425,18.99452,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_45918,5to10pct,1048,915,25,36.6,0.0203848,118,1.25,0.825,informal,Langa,"https://www.google.com/maps/@-33.94768,18.53733,19.0z/data=!3m1!1e3",,
ZAF.9.3.1_1_18458,5to10pct,1100,915,25,36.6,0.0200919,105,1.17,0.000,formal,Cape Town Ward 106,"https://www.google.com/maps/@-33.96947,18.63321,19.2z/data=!3m1!1e3",,
ZAF.9.3.1_1_41676,5to10pct,1190,915,25,36.6,0.019539,48,0.40,0.000,formal,Philippi,"https://www.google.com/maps/@-34.00503,18.57678,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_41640,5to10pct,1200,915,25,36.6,0.0195038,147,1.83,0.000,formal,Cape Town Ward 38,"https://www.google.com/maps/@-33.99401,18.56829,19.0z/data=!3m1!1e3",,
ZAF.9.3.1_1_38563,5to10pct,1259,915,25,36.6,0.0191699,107,1.09,0.000,formal,Klipfontein,"https://www.google.com/maps/@-34.01343,18.61479,18.9z/data=!3m1!1e3",,
ZAF.9.3.1_1_38351,5to10pct,1262,915,25,36.6,0.0191598,59,0.58,0.000,formal,Klipfontein,"https://www.google.com/maps/@-34.00723,18.62348,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_6224,5to10pct,1270,915,25,36.6,0.0191016,55,0.52,0.000,formal,Cape Town Ward 6,"https://www.google.com/maps/@-33.85858,18.72878,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_23489,5to10pct,1272,915,25,36.6,0.0190952,99,1.05,0.000,formal,Rusthof,"https://www.google.com/maps/@-34.11682,18.86585,19.2z/data=!3m1!1e3",,
ZAF.9.3.1_1_6319,5to10pct,1392,915,25,36.6,0.0183935,133,1.61,0.124,formal,Cape Town Ward 6,"https://www.google.com/maps/@-33.86206,18.73372,18.7z/data=!3m1!1e3",,
ZAF.9.3.1_1_30829,5to10pct,1404,915,25,36.6,0.0183444,67,0.59,0.000,formal,Racing Park,"https://www.google.com/maps/@-33.82282,18.54026,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_42217,5to10pct,1434,915,25,36.6,0.0182222,149,2.03,0.000,formal,Cape Town Ward 38,"https://www.google.com/maps/@-33.99208,18.56639,18.7z/data=!3m1!1e3",,
ZAF.9.3.1_1_5721,5to10pct,1479,915,25,36.6,0.0179795,47,0.40,0.000,formal,Kraaifontein East,"https://www.google.com/maps/@-33.85246,18.74326,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_5621,5to10pct,1501,915,25,36.6,0.0178362,126,1.31,0.000,formal,Kraaifontein East,"https://www.google.com/maps/@-33.84726,18.74453,19.3z/data=!3m1!1e3",,
ZAF.9.3.1_1_5570,5to10pct,1516,915,25,36.6,0.0177558,31,0.24,0.000,formal,Kraaifontein East,"https://www.google.com/maps/@-33.84724,18.74874,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_38511,5to10pct,1517,915,25,36.6,0.017752,73,0.78,0.000,formal,Klipfontein,"https://www.google.com/maps/@-34.01149,18.61699,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_43433,5to10pct,1525,915,25,36.6,0.0177021,68,0.68,0.000,formal,Klipfontein,"https://www.google.com/maps/@-34.01603,18.60966,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_17102,5to10pct,1584,915,25,36.6,0.0174717,42,0.33,1.000,informal,Cape Town Ward 16,"https://www.google.com/maps/@-34.00055,18.67937,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_5606,5to10pct,1684,915,25,36.6,0.0170261,83,0.88,0.000,formal,Kraaifontein East,"https://www.google.com/maps/@-33.84807,18.74734,19.2z/data=!3m1!1e3",,
ZAF.9.3.1_1_41683,5to10pct,1728,915,25,36.6,0.0167955,55,0.52,0.222,formal,Philippi,"https://www.google.com/maps/@-34.00707,18.57588,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_20047,5to10pct,1744,915,25,36.6,0.0167325,176,2.35,0.000,formal,Umrhabulo Triangle (Makhaza),"https://www.google.com/maps/@-34.04165,18.71025,19.1z/data=!3m1!1e3",,
ZAF.9.3.1_1_1493,5to10pct,1758,915,25,36.6,0.0166969,63,0.72,0.000,formal,Witsand,"https://www.google.com/maps/@-33.59101,18.50336,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_19349,5to10pct,1793,915,25,36.6,0.0165613,38,0.33,0.000,formal,Delft South,"https://www.google.com/maps/@-33.97347,18.63306,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_6289,10to30pct,2189,3662,25,146.48,0.0151347,41,0.38,1.000,informal,Cape Town Ward 6,"https://www.google.com/maps/@-33.86055,18.74173,19.5z/data=!3m1!1e3",no-dense-informal,cover 1.000 yet formal to human+agent+morphology; upgrading candidate
ZAF.9.3.1_1_5706,10to30pct,2219,3662,25,146.48,0.0150412,1347,18.40,0.000,formal,Kraaifontein East,"https://www.google.com/maps/@-33.84913,18.74507,16.1z/data=!3m1!1e3",some-dense-informal,hard case; 18.4 ha mixed; adjudicator notes a single label is lossy here
ZAF.9.3.1_1_44533,10to30pct,2295,3662,25,146.48,0.0148626,62,0.75,0.589,informal,Cape Town Ward 88,"https://www.google.com/maps/@-34.01892,18.58870,19.5z/data=!3m1!1e3",,
ZAF.9.1.2_1_3710,10to30pct,2479,3662,25,146.48,0.0143567,100,1.22,0.000,formal,Drakenstein Ward 5,"https://www.google.com/maps/@-33.66604,18.98731,18.7z/data=!3m1!1e3",some-dense-informal,"unambiguous shack fabric; thin strip, tracks both sides; low depth"
ZAF.9.3.1_1_731,10to30pct,2493,3662,25,146.48,0.0143059,79,1.04,0.000,formal,Saxonsea,"https://www.google.com/maps/@-33.55089,18.49935,19.2z/data=!3m1!1e3",,
ZAF.9.3.1_1_39399,10to30pct,2702,3662,25,146.48,0.013776,122,2.40,0.037,formal,Cape Town Ward 88,"https://www.google.com/maps/@-34.00996,18.59763,19.2z/data=!3m1!1e3",,
ZAF.9.3.1_1_44525,10to30pct,2902,3662,25,146.48,0.0133572,151,2.63,0.000,formal,Cape Town Ward 43,"https://www.google.com/maps/@-34.07388,18.58960,18.7z/data=!3m1!1e3",,
ZAF.9.3.1_1_55731,10to30pct,3042,3662,25,146.48,0.0130671,123,1.79,0.000,formal,Cape Town Ward 67,"https://www.google.com/maps/@-34.08320,18.48754,19.2z/data=!3m1!1e3",some-dense-informal,
